"periode_data", "wilayah"                   , "no_registrasi", "jenis_halte" , "kode_barang" , "lokasi_alamat"                                                                                                                                                                                             , "lintang"   , "bujur"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400165" , "REGULER"     , "133010135001", "Balekota"                                                                                                                                                                                                  , "-6.180925" , "106.8263318"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400166" , "TRANSJAKARTA", "133010135001", "Jl. Ir. H. Juanda No.7, RW.8, Kb. Klp., Kecamatan Gambir, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10110 (Halte Busway Pecenongan)"                                                     , "-6.1668841", "106.8258306"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400167" , "REGULER"     , "133010118004", "Jl. Prapanca Raya 9, RT.1/RW.1, Petogogan, Kec. Kby. Baru, Kota KOTA ADM. JAKARTA SELATAN, Daerah Khusus Ibukota Jakarta 12170 (Halte Samping Walikota Jaksel)"                                            , "-6.2492663", "106.8077374"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400168" , "REGULER"     , "133010118004", "Jl. Bulungan 76-77, RT.6/RW.6, Kramat Pela, Kec. Kby. Baru, Kota KOTA ADM. JAKARTA SELATAN, Daerah Khusus Ibukota Jakarta 12130 (Depan Burger King)"                                                       , "-6.2442952", "106.7971416"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400169" , "TRANSJAKARTA", "133010135001", "Jl. Silang Merdeka Utara RT.5/RW.2, Gambir, Kota KOTA ADM. JAKARTA PUSAT, 10110 (Halte Busway Gambir 2)"                                                                                                   , "-6.1788859", "106.8310215"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400170" , "REGULER"     , "133010118004", "Jl. Bulungan, RT.6/RW.7, Kramat Pela, Kec. Kby. Baru, Kota KOTA ADM. JAKARTA SELATAN, Daerah Khusus Ibukota Jakarta 12130 (TK/SD Kwitang 6 PSKD)"                                                          , "-6.2414973", "106.7960983"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400171" , "TRANSJAKARTA", "133010135001", "Jl. Prajurit KKO Usman dan Harun No.28, Senen, Kec. Senen, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10410 (Halte Busway Kwitang)"                                                       , "-6.1831767", "106.823257"
"2024"        , " KOTA ADM. JAKARTA TIMUR"  , "HLT202400172" , "TRANSJAKARTA", "133010135001", "Jl. Bekasi Barat, RT.4/RW.2, Rw. Bunga, Kecamatan Jatinegara, Kota KOTA ADM. JAKARTA TIMUR, Daerah Khusus Ibukota Jakarta 13350 (Halte Busway Stasiun Jatinegara)"                                         , "-6.2155356", "106.8692022"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400173" , "REGULER"     , "133010118004", "Jl. Metro Pondok Indah, RT.1/RW.16, Pd. Pinang, Kec. Kby. Lama, Kota KOTA ADM. JAKARTA SELATAN, Daerah Khusus Ibukota Jakarta 12310 (Depan Halte Busway Pondok Indah 2)"                                   , "-6.2674213", "106.7837803"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400174" , "REGULER"     , "133010118004", "Jl. St. Senen KOTA ADM. JAKARTA PUSAT, RW.3, Senen, Kec. Senen, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta 10410 (Depan Pasar Senen)"                                                     , "-6.1760967", "106.84341"
"2024"        , " KOTA ADM. JAKARTA TIMUR"  , "HLT202400175" , "TRANSJAKARTA", "133010135001", "Jl. Raya Bekasi Pulo Gadung, Kota KOTA ADM. JAKARTA TIMUR, 13260 (Halte Busway Pulogadung)"                                                                                                                , "-6.1834383", "106.9087133"
"2024"        , " KOTA ADM. JAKARTA SELATAN", "HLT202400176" , "REGULER"     , "133010118004", "Jl. Bungur Raya RT.3/RW.1, Kemayoran, Kec. Kemayoran, Kota KOTA ADM. JAKARTA PUSAT, Daerah Khusus Ibukota Jakarta (Halte Armabar)"                                                                         , "-6.1639966", "106.8408569"
"2024"        , " KOTA ADM. JAKARTA PUSAT"  , "HLT202400177" , "TRANSJAKARTA", "133010135001", "Jalan Daan Mogot, RT.2/RW.12, Kalideres, Kota KOTA ADM. JAKARTA BARAT, 11840 (Halte Busway Pesakih)"                                                                                                       , "-6.1549467", "106.715215"
