route_id,trip_id,direction_id,stop_headsign,start_time,end_time
JAK.106,JAK.106-R05,1,Term. Klender,05:00:00,22:00:00
JAK.108,JAK.108-L02,0,Bambu Apus,05:00:00,22:00:00
JAK.108,JAK.108-L02,0,Kramat Jati,05:00:00,22:00:00
JAK.10A,JAK.10A-L01,0,Cikini via Salemba Raya,05:00:00,22:00:00
JAK.10A,JAK.10A-L01,0,Gondangdia,05:00:00,22:00:00
JAK.10A,JAK.10A-L01,0,Gondangdia Via Salemba,05:00:00,22:00:00
JAK.11,JAK.11-R01,0,Kebayoran Lama,05:00:00,22:00:00
JAK.11,JAK.11-R01,0,Palmerah,05:00:00,22:00:00
JAK.11,JAK.11-R01,0,Rawa Belong,05:00:00,22:00:00
JAK.11,JAK.11-R01,0,Tanah Abang,05:00:00,22:00:00
JAK.11,JAK.11-R02,1,Kebayoran Lama,05:00:00,22:00:00
JAK.11,JAK.11-R02,1,Palmerah,05:00:00,22:00:00
JAK.11,JAK.11-R02,1,Rawa Belong,05:00:00,22:00:00
JAK.11,JAK.11-R02,1,Tanah Abang,05:00:00,22:00:00
JAK.110A,JAK.110A-L01,0,Rusun Marunda,05:00:00,22:00:00
JAK.110A,JAK.110A-L01,0,Term. Pulo Gebang,05:00:00,22:00:00
JAK.110A,JAK.110A-R02,1,Rusun Marunda,05:00:00,22:00:00
JAK.110A,JAK.110A-R02,1,Term. Pulo Gebang,05:00:00,22:00:00
JAK.112,JAK.112-L01,0,Pulo Gadung,05:00:00,22:00:00
JAK.112,JAK.112-L01,0,Tanah Merah,05:00:00,22:00:00
JAK.113,JAK.113-L02,0,Kampung Sawah,05:00:00,22:00:00
JAK.113,JAK.113-L02,0,Rusun Sindang Koja,05:00:00,22:00:00
JAK.113,JAK.113-L02,0,Tanah Merdeka via Permai Koja,05:00:00,22:00:00
JAK.113,JAK.113-R04,1,Kampung Sawah,05:00:00,22:00:00
JAK.113,JAK.113-R04,1,Rusun Sindang Koja,05:00:00,22:00:00
JAK.113,JAK.113-R04,1,Tanah Merdeka via Permai Koja,05:00:00,22:00:00
JAK.115,JAK.115-R01,0,Pegangsaan II IGI,05:00:00,22:00:00
JAK.115,JAK.115-R01,0,Term. Tanjung Priok,05:00:00,22:00:00
JAK.115,JAK.115-R01,0,Term. Tj. Priok,05:00:00,22:00:00
