trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
JAK.43B-R02,JAK.43B,SH,Tebet Eco Park (TEP) dan Tongtek,Cililitan - Tebet Eco Park (TEP) - Tongtek,1,,JAK.43B-R02_shp,,
JAK.93-R04,JAK.93,SH,Jeruk Purut,Kebayoran Lama - Jeruk Purut,1,,qair,,
JAK.17-L01,JAK.17,SH,Senen dan Pulo Gadung,Pulo Gadung - Senen - Pulo Gadung,0,,mabb,,
JAK.17-R02,JAK.17,SH,Pulo Gadung,Senen - Pulo Gadung,1,,JAK.17-R02_shp,,
JAK.26-L01,JAK.26,SH,Duren Sawit dan Rawamangun,Rawamangun - Duren Sawit - Rawamangun,0,,ms3s,,
JAK.26-R01,JAK.26,SH,Rawamangun,Duren Sawit - Rawamangun,0,,JAK.26-R01_shp,,
JAK.02-L01,JAK.02,SH,Duren Sawit dan Kampung Melayu,Kampung Melayu - Duren Sawit - Kampung Melayu,0,,c66k,,
JAK.02-R02,JAK.02,SH,Kampung Melayu,Duren Sawit - Kampung Melayu,1,,y52i,,
JAK.84-R05,JAK.84,SH,Kapin,Kampung Melayu - Kapin,0,,9pew,,
JAK.105-R02,JAK.105,SH,Stasiun Tebet,Rusun Cipinang Muara - Stasiun Tebet,1,,JAK.105-R02_shp,,
JAK.105-R01,JAK.105,SH,Rusun Cipinang Muara,Stasiun Tebet - Rusun Cipinang Muara,0,,JAK.105-R01_shp,,
JAK.105-L01,JAK.105,SH,Rusun Cipinang Muara dan St. Tebet,St. Tebet - Rusun Cipinang Muara - St. Tebet,0,,c7x2,,
JAK.20-P01,JAK.20,HK,BKKBN dan Cawang Sentral 1 Polypaint,Cawang Sentral 1 Polypaint - BKKBN - Cawang Sentral 1 Polypaint,0,,b21k,,
JAK.53-L03,JAK.53,SH,Pos Pengumben dan Grogol,Grogol - Pos Pengumben - Grogol,0,,mjlb,,
JAK.78B-L03,JAK.78B,SH,Teluk Gong dan Jembatan Tiga,Jembatan Tiga - Teluk Gong - Jembatan Tiga,0,,0vdz,,
